index,y
2023-01-01_1J7,10000
2023-01-01_O2O,10000
2023-01-01_8QR,10000
2023-01-01_L58,10000
2023-01-01_UMC,10000
2023-01-01_FK3,10000
2023-01-01_I1K,10000
2023-01-01_KY6,10000
2023-01-01_V8D,10000
2023-01-01_EK4,10000
2023-01-01_357,10000
2023-01-01_O7B,10000
2023-01-01_RYX,10000
2023-01-01_TEP,10000
2023-01-01_CUF,10000
2023-01-01_4UY,10000
2023-01-01_I9K,10000
2023-01-01_FA8,10000
2023-01-01_EPD,10000
2023-01-01_VML,10000
2023-01-01_GV0,10000
2023-01-01_5KB,10000
2023-01-01_6WR,10000
2023-01-01_BRZ,10000
2023-01-01_BUY,10000
2023-01-01_C3A,10000
2023-01-01_276,10000
2023-01-01_IFB,10000
2023-01-01_1PW,10000
2023-01-01_6UW,10000
2023-01-01_RR1,10000
2023-01-01_XTG,10000
2023-01-01_JXV,10000
2023-01-01_OD3,10000
2023-01-01_YTV,10000
2023-01-01_Z2T,10000
2023-01-01_GOJ,10000
2023-01-01_8X9,10000
2023-01-01_R83,10000
2023-01-01_XIG,10000
2023-01-01_CSD,10000
2023-01-01_30R,10000
2023-01-01_OOY,10000
2023-01-01_JCN,10000
2023-01-01_G10,10000
2023-01-01_MM6,10000
2023-01-01_NT4,10000
2023-01-01_IOR,10000
2023-01-01_J9C,10000
2023-01-01_VI4,10000
2023-01-01_8WZ,10000
2023-01-01_FYB,10000
2023-01-01_5GK,10000
2023-01-01_QQJ,10000
2023-01-01_E9M,10000
2023-01-01_F77,10000
2023-01-01_JX6,10000
2023-01-01_HW6,10000
2023-01-01_30I,10000
2023-01-01_CWQ,10000
2023-01-01_4IM,10000
2023-01-01_59A,10000
2023-01-01_BZ0,10000
2023-01-01_5S5,10000
2023-01-01_MK9,10000
2023-01-01_JCW,10000
2023-01-01_34L,10000
2023-01-01_EBP,10000
2023-01-01_V4D,10000
2023-01-01_3KU,10000
2023-01-01_BNR,10000
2023-01-01_VGQ,10000
2023-01-01_B3W,10000
2023-01-01_HOX,10000
2023-01-01_9WY,10000
2023-01-01_N7J,10000
2023-01-01_4YU,10000
2023-01-01_JD3,10000
2023-01-01_RF2,10000
2023-01-01_FBH,10000
2023-01-01_P4J,10000
2023-01-01_QV8,10000
2023-01-01_SH9,10000
2023-01-01_DBV,10000
2023-01-01_3NQ,10000
2023-01-01_651,10000
2023-01-01_HOC,10000
2023-01-01_3W6,10000
2023-01-01_EIZ,10000
2023-01-01_87K,10000
2023-01-01_289,10000
2023-01-01_XRB,10000
2023-01-01_BKJ,10000
2023-01-01_T91,10000
2023-01-01_NVE,10000
2023-01-01_CJP,10000
2023-01-01_5U5,10000
2023-01-01_BPW,10000
2023-01-01_GKH,10000
2023-01-01_XOK,10000
2023-01-01_72S,10000
2023-01-01_4PO,10000
2023-01-01_5PK,10000
2023-01-01_5WG,10000
2023-01-01_J9O,10000
2023-01-01_6DU,10000
2023-01-01_MIH,10000
2023-01-01_DSX,10000
2023-01-01_F7I,10000
2023-01-01_OYD,10000
2023-01-01_P3G,10000
2023-01-01_B3D,10000
2023-01-01_B61,10000
2023-01-01_8E0,10000
2023-01-01_7NG,10000
2023-01-01_222,10000
2023-01-01_1TE,10000
2023-01-01_CYD,10000
2023-01-01_GN3,10000
2023-01-01_11W,10000
2023-01-01_4SH,10000
2023-01-01_3NS,10000
2023-01-01_W80,10000
2023-01-01_OTS,10000
2023-01-01_25G,10000
2023-01-01_XUL,10000
2023-01-01_Z5T,10000
2023-01-01_56P,10000
